Country/territory,Fossil CO2 emissions (ktCO2/year),Fossil CO2 emissions (ktCO2/year),Fossil CO2 emissions (ktCO2/year),Fossil CO2 emissions (ktCO2/year),Fossil CO2 emissions (ktCO2/year),Per capita (tCO2/year),% of world,Change (1990=100%)
Country/territory,1970,1990,2005,2017,2022,2022,2022,2022
Aruba,25.2,189.3,358.2,426.8,455.1,4.25,0.001%,240.4%
Afghanistan,1734.1,2896.5,1333.8,8546.9,5675.8,0.14,0.015%,196.0%
Angola,8948.2,11288.8,15964.1,26137.4,20185.7,0.58,0.052%,178.8%
Anguilla,2.2,6.1,13.7,29.1,22.8,1.52,0.000%,372.5%
Albania,4848.8,6647.4,4149.4,5349.3,4486.2,1.52,0.012%,67.5%
Netherlands Antilles,14515.8,2666.4,5910.4,4005.9,2046.8,12.41,0.005%,76.8%
United Arab Emirates,19429.2,56825.6,122379.8,205196.1,218799.3,21.75,0.568%,385.0%
Argentina,87006.9,99531.6,152773.7,188432.6,184037.2,3.97,0.478%,184.9%
Armenia,12673.6,20604.7,4462.5,5380.8,6326.5,2.15,0.016%,30.7%
Antigua and Barbuda,102.4,154.3,160.2,253.4,277.7,2.59,0.001%,180.0%
Australia,160382.0,277201.6,383817.6,415458.4,393162.5,15.12,1.021%,141.8%
Austria,52664.0,61582.5,79903.2,69954.1,61174.5,6.94,0.159%,99.3%
Azerbaijan,36257.2,54412.8,30339.2,32673.7,37129.6,3.62,0.096%,68.2%
Burundi,58.3,204.2,184.8,519.4,924.2,0.07,0.002%,452.6%
Belgium,139251.7,115808.6,119088.6,99402.3,90414.9,7.72,0.235%,78.1%
Benin,311.4,397.6,2800.9,7240.0,9619.5,0.75,0.025%,"2,419.5%"
Burkina Faso,226.2,332.4,1143.7,4327.5,5820.5,0.26,0.015%,"1,751.3%"
Bangladesh,3338.8,14310.6,39772.4,100195.5,109075.3,0.63,0.283%,762.2%
Bulgaria,68948.4,79751.3,52346.2,49226.3,50103.3,7.32,0.130%,62.8%
Bahrain,2958.5,11977.6,23350.6,33734.9,37955.1,21.31,0.099%,316.9%
Bahamas,1441.3,1024.2,800.9,1256.7,1446.2,3.49,0.004%,141.2%
Bosnia and Herzegovina,11563.6,24573.1,16834.0,23966.5,21826.7,6.26,0.057%,88.8%
Belarus,54982.0,105045.2,59600.9,60113.4,57411.4,6.12,0.149%,54.7%
Belize,59.9,119.3,139.5,258.9,269.4,0.65,0.001%,225.8%
Bermuda,138.9,238.1,173.1,260.9,317.5,5.29,0.001%,133.3%
Bolivia,3018.4,6572.9,9878.3,21648.0,21959.5,1.85,0.057%,334.1%
Brazil,104664.4,219750.7,365166.0,492735.3,466770.4,2.15,1.212%,212.4%
Barbados,254.9,558.4,612.8,601.0,674.2,2.34,0.002%,120.7%
Brunei,2038.8,3336.6,5165.9,7433.5,9375.7,20.65,0.024%,281.0%
Bhutan,35.1,180.7,556.3,1588.0,1712.4,2.01,0.004%,947.4%
Botswana,153.4,2822.6,4390.3,7439.7,8213.7,3.29,0.021%,291.0%
Central African Republic,75.7,162.1,254.2,249.7,276.1,0.05,0.001%,170.4%
Canada,356147.4,440412.5,576473.2,595061.2,582072.9,15.22,1.511%,132.2%
Switzerland,41435.9,44773.8,47040.0,39792.1,36105.2,4.11,0.094%,80.6%
Chile,27881.4,33021.1,58906.8,89430.9,92858.7,4.96,0.241%,281.2%
China,910077.7,2406179.5,6258412.6,11026110.2,12667428.4,8.85,32.884%,526.5%
Ivory Coast,2615.8,2972.3,6400.8,12335.1,14491.9,0.53,0.038%,487.6%
Cameroon,871.1,4771.3,5480.3,9751.7,10080.2,0.37,0.026%,211.3%
Democratic Republic of the Congo,2926.5,3367.0,2480.2,3127.4,3551.8,0.04,0.009%,105.5%
Republic of the Congo,1803.3,2398.8,4352.0,5555.0,7435.8,1.24,0.019%,310.0%
Cook Islands,18.8,40.2,86.2,117.4,107.8,6.34,0.000%,268.3%
Colombia,28567.2,53037.3,60726.4,77797.4,88469.8,1.74,0.230%,166.8%
Comoros,21.9,40.0,136.6,246.2,342.9,0.38,0.001%,856.7%
Cape Verde,150.0,54.8,611.2,838.7,1015.0,1.74,0.003%,"1,853.3%"
Costa Rica,1433.4,2914.8,6352.8,8377.1,8608.4,1.68,0.022%,295.3%
Cuba,21847.8,38616.9,26224.2,26483.4,24770.8,2.15,0.064%,64.1%
Cayman Islands,25.5,108.4,136.3,256.5,307.2,4.73,0.001%,283.3%
Cyprus,2167.5,4638.5,7905.2,7361.9,7460.3,6.1,0.019%,160.8%
Czech Republic,186755.0,164666.8,128542.0,109866.4,101544.7,9.55,0.264%,61.7%
Germany,1074753.0,1008138.1,835260.0,769106.8,673595.3,8.16,1.749%,66.8%
Djibouti,711.6,992.5,759.0,642.6,761.1,0.74,0.002%,76.7%
Dominica,7.6,20.1,57.7,63.4,68.8,0.92,0.000%,341.9%
Denmark,61931.9,52431.6,50709.9,33582.0,29158.8,4.99,0.076%,55.6%
Dominican Republic,3883.8,8049.2,18786.2,23736.2,23457.0,2.07,0.061%,291.4%
Algeria,19022.2,67921.6,98171.7,161370.2,177079.4,3.97,0.460%,260.7%
Ecuador,5018.6,17523.7,28179.8,39706.4,46106.9,2.59,0.120%,263.1%
Egypt,25436.2,91447.9,178335.2,268634.2,265961.3,2.5,0.690%,290.8%
Eritrea,341.7,329.2,604.2,598.1,804.7,0.14,0.002%,244.4%
Western Sahara,86.8,149.7,259.6,214.8,241.5,0.39,0.001%,161.3%
Spain,144547.0,231558.1,369915.8,281053.5,254363.4,5.48,0.660%,109.8%
Estonia,16197.5,37944.9,19405.4,21223.9,10847.9,8.39,0.028%,28.6%
Ethiopia,1167.1,2186.1,5471.4,16607.3,21106.9,0.18,0.055%,965.5%
Finland,41239.9,56211.7,57781.8,45571.1,37324.7,6.64,0.097%,66.4%
Fiji,712.7,995.0,1834.4,1785.7,1692.9,1.81,0.004%,170.1%
Falkland Islands,2.9,5.4,10.4,15.6,21.8,7.26,0.000%,406.6%
France,465305.4,384031.5,406272.9,338584.8,315299.5,4.76,0.818%,82.1%
Faroe Islands,0.9,1.6,1.9,2.0,2.1,0.04,0.000%,132.9%
Gabon,600.8,6164.7,6384.7,5668.6,5516.6,2.46,0.014%,89.5%
United Kingdom,669518.5,581012.1,556573.3,379214.5,340610.3,5.0,0.884%,58.6%
Georgia,23136.6,34482.3,4832.0,10980.0,12013.9,3.1,0.031%,34.8%
Ghana,2344.6,3131.1,7187.7,16862.4,24453.0,0.76,0.063%,781.0%
Gibraltar,69.5,143.8,406.3,649.8,663.6,18.96,0.002%,461.4%
Guinea,459.4,962.4,1763.1,3118.1,3801.7,0.26,0.010%,395.0%
Guadeloupe,185.1,655.5,640.8,838.7,904.5,2.02,0.002%,138.0%
Gambia,79.2,124.7,333.9,494.3,611.7,0.25,0.002%,490.6%
Guinea-Bissau,44.2,172.0,277.1,289.8,350.1,0.17,0.001%,203.5%
Equatorial Guinea,41.6,71.1,6434.3,6389.6,5053.9,3.37,0.013%,"7,109.8%"
Greece,28857.3,77902.2,103607.7,68356.8,56777.1,5.14,0.147%,72.9%
Grenada,11.2,47.9,66.2,117.0,122.5,1.1,0.000%,255.9%
Greenland,0.8,1.1,619.2,508.7,465.9,8.17,0.001%,"40,779.6%"
Guatemala,2500.0,3914.4,11772.1,17155.1,20090.1,1.08,0.052%,513.2%
French Guiana,91.0,242.7,187.6,344.5,354.6,1.11,0.001%,146.1%
Guyana,1502.8,1174.0,1483.4,2468.8,3804.0,4.76,0.010%,324.0%
Hong Kong,9493.2,35029.8,42584.1,43977.0,32439.2,4.24,0.084%,92.6%
Honduras,1217.9,2355.4,7091.4,9338.2,10612.6,1.06,0.028%,450.6%
Croatia,21706.5,24799.3,22719.8,18734.2,17225.0,4.23,0.045%,69.5%
Haiti,533.3,1141.4,1828.6,3502.8,3437.0,0.3,0.009%,301.1%
Hungary,66231.3,71682.9,60294.0,53869.5,47291.9,4.95,0.123%,66.0%
Indonesia,30979.7,160851.1,359832.5,542053.7,692236.1,2.5,1.797%,430.4%
India,213947.3,600677.9,1216512.3,2434123.8,2693034.1,1.91,6.991%,448.3%
Ireland,20645.6,32234.6,46848.9,38179.2,37785.6,7.61,0.098%,117.2%
Iran,79495.2,204790.8,467592.5,664899.5,686415.7,8.08,1.782%,335.2%
Iraq,23149.2,69222.5,87038.1,161380.7,193836.3,4.43,0.503%,280.0%
Iceland,1934.9,2341.7,3130.8,3314.8,3558.3,10.23,0.009%,152.0%
Israel,14903.5,35224.2,61974.6,67927.7,61771.2,4.24,0.160%,175.4%
Italy,312329.1,424676.5,492525.9,345364.5,322948.7,5.48,0.838%,76.0%
Jamaica,8049.9,7512.2,10613.5,7277.7,6083.0,2.08,0.016%,81.0%
Jordan,2741.6,10078.2,20316.5,26549.6,23578.9,2.27,0.061%,234.0%
Japan,848591.0,1165378.0,1282140.9,1205921.4,1082645.4,8.61,2.810%,92.9%
